specie	record_number	process	QDB_process	type	element	ionic_state	initial_state_conf	initial_state	final_state	reaction_formula	x_unit	y_unit	reference_number	author	title_of_record	journal_name	volume_and_issue_No	page_number	date_of_publication	DOI
O5+	rowB201207460	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s24f1,2F) + e	e + O5+(1s22p1,2P) -> O5+(1s24f1,2F) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207461	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s25s1,2S) + e	e + O5+(1s22p1,2P) -> O5+(1s25s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207462	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s25p1,2P) + e	e + O5+(1s22p1,2P) -> O5+(1s25p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207463	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s25d1,2D) + e	e + O5+(1s22p1,2P) -> O5+(1s25d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207470	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s25f1,2F) + e	e + O5+(1s22p1,2P) -> O5+(1s25f1,2F) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207471	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25g1,2G) + e	e + O5+(1s22s1,2S) -> O5+(1s25g1,2G) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207472	Electron Impact Electronic Excitation	EEX	R	O	1	1s23s1,2S	O5+(1s23s1,2S)	O5+(1s24s1,2S) + e	e + O5+(1s23s1,2S) -> O5+(1s24s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207473	Electron Impact Electronic Excitation	EEX	R	O	1	1s23s1,2S	O5+(1s23s1,2S)	O5+(1s24p1,2P) + e	e + O5+(1s23s1,2S) -> O5+(1s24p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207474	Electron Impact Electronic Excitation	EEX	R	O	1	1s23s1,2S	O5+(1s23s1,2S)	O5+(1s24p1,2P) + e	e + O5+(1s23s1,2S) -> O5+(1s24p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207475	Electron Impact Electronic Excitation	EEX	R	O	1	1s23s1,2S	O5+(1s23s1,2S)	O5+(1s24d1,2D) + e	e + O5+(1s23s1,2S) -> O5+(1s24d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
