specie,record_number,process,QDB_process,type,element,ionic_state,initial_state_conf,initial_state,final_state,reaction_formula,x_unit,y_unit,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
CH4,11965,rotational excitation,ECX, T,CH4,0,J=0,CH4 +0 ( J=0 ),CH4(J=4),CH4(J=0) + e --> CH4(J=4), eV,cm2,RN 2014T201, Brigg  W.J Tennyson  J. Plummer  M., R-matrix calculations of low-energy electron collisions with methane, J. Phys. B,47,185203,2014
H3O+,99999,ionization,EIN, E,H3O,1,,H3O +1 ( ),H3O2+,H3O1+ + e --> H3O2+, eV,cm2,RN 2001E201, Bahati  E.M. Jureta  J.J. Cherkani-Hassani  H. Defrance  P.,"Electron impact single ionization and dissociative excitation of H3O+, HD2O+ and D3O+", J. Phys. B,34,L333-L337,2001
H3O+,10575,dissociation,EDS, E,H3O,1,,H3O +1 ( ), H+,H3O+ + e --> H+, eV,cm2,RN 2001E201, Bahati  E.M. Jureta  J.J. Cherkani-Hassani  H. Defrance  P.,"Electron impact single ionization and dissociative excitation of H3O+, HD2O+ and D3O+", J. Phys. B,34,L333-L337,2001
H3O+,10574,ionization,EIN, E,H3O,1,,H3O +1 ( ),H3O2+,H3O+ + e --> H3O2+, eV,cm2,RN 2001E201, Bahati  E.M. Jureta  J.J. Cherkani-Hassani  H. Defrance  P.,"Electron impact single ionization and dissociative excitation of H3O+, HD2O+ and D3O+", J. Phys. B,34,L333-L337,2001
C3H8,11619,total scattering,ETS, E,C3H8,0,C\3`H\8`,C3H8 +0 ( C3H8 ),,C3H8(C3H8) + e --> (total scattering), eV,cm2,RN 2002E203, Szmytkowski  Cz. Kwitnewski  S.,Total cross sections for electron scattering with some C3 hydrocarbons, J. Phys. B,35,3781,2002
C3H8,10138,dissociative ionization dissociation,EDS, E,C3H8,0,,C3H8 +0 ( ), C+,C3H8 + e --> C+, eV,cm2,RN 1993E013, Grill  V. Walder  G. Margreiter  D. Rauth  T. Poll  H.U. Scheier  P. Mark  T.D.,Absolute partial and total electron impact ionization cross sections for C3H8 from threshold up to 950 eV, Z. Phys. D,25,217,1993
C3H8,10453,dissociative ionization dissociation,EDS, V,C3H8,0,,C3H8 +0 ( ), C+,C3H8 + e --> C+, eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
C3H8,10130,dissociative ionization dissociation,EDS, E,C3H8,0,,C3H8 +0 ( ),C2+,C3H8 + e --> C2+, eV,cm2,RN 1993E013, Grill  V. Walder  G. Margreiter  D. Rauth  T. Poll  H.U. Scheier  P. Mark  T.D.,Absolute partial and total electron impact ionization cross sections for C3H8 from threshold up to 950 eV, Z. Phys. D,25,217,1993
C3H8,10449,dissociative ionization dissociation,EDS, V,C3H8,0,,C3H8 +0 ( ),C2+,C3H8 + e --> C2+, eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
C3H8,10284,ionization dissociative ionization dissociation,EDS, T,C3H8,0,,C3H8 +0 ( ),C2++CH2+3H2+2e,C3H8 + e --> C2++CH2+3H2+2e, eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
