id,ordinary_formula,charge,mass,energy,hform,lj_epsilon,lj_sigma
316,SF3-,-1,89.060209,,,,
319,S,0,32.066,,277.17,,
320,S+,1,32.066,,1282.496,,
321,CH3F,0,34.0329,,,,
322,CH2F,0,33.02498,,,,
323,CH,0,13.01864,,595.8,,
324,HF+,1,20.006343,,1281.85,,
332,SiH-,-1,29.09344,,,,
334,SiH+,1,29.09344,,,,
335,SiH4+,1,32.11726,,,,
336,SiH2-,-1,30.10138,,,,
338,CCl2,0,82.9167,,,,
339,Ar+2,2,39.948,,,93.3,3.542
346,SiH3O,0,47.10872,,,,
347,SiO,0,44.0849,,,,
348,SiO2+,1,60.0843,,,,
349,SiO+,1,44.0849,,,,
350,SiHO,0,45.09284,,,,
351,Si2H5,0,61.2107,,,207.6,4.08
353,Si3H8,0,89.2047,,,0.0,0.0
355,Si4H10,0,122.4214,,,0.0,0.0
365,hv,0,0.0,,,,
371,NH2-,-1,16.02258,,,,
386,CH2+,1,14.02658,,,,
387,CH3+,1,15.0345,,,,
388,CH4+,1,16.0425,,,,
389,CH5+,1,17.0504,,,,
390,C2+,1,24.0214,,,,
391,C2H+,1,25.0293,,,,
392,C2H3+,1,27.0452,,392.3,,
393,CH3,0,15.0345,,146.9,,
394,CH2,0,14.02658,,392.3,,
395,C2H6,0,30.06904,,-83.85,,
396,C3H8,0,44.0956,,-104.14,,
402,C2,0,24.0214,,,,
403,C4H10,0,58.1222,,,,
404,C2H3,0,27.0452,,299.74,,
405,C2H,0,25.0293,,566.22,,
406,C2H5+,1,29.0611,,,,
407,C4H,0,49.0507,,,,
408,C4H+,1,49.0507,,,,
409,C6H,0,73.0721,,,,
410,C6H+,1,73.0721,,,,
411,C8H,0,97.0935,,,,
412,C8H+,1,97.0935,,,,
413,C4H2+,1,50.0587,,,,
414,C8H2+,1,98.1015,,,,
415,C4H3+,1,51.0666,,,,
416,C6H2+,1,74.0801,,,,
417,C6H4+,1,76.096,,,,
418,C8H6+,1,102.1332,,,,
419,C10H6+,1,126.1546,,,,
420,C8H4+,1,100.1174,,,,
421,C6H2,0,74.0801,,,,
422,C4H2,0,50.0587,,,,
423,C8H2,0,98.1015,,,,
424,C10H2,0,122.1229,,,,
425,C12H2,0,146.1443,,,,
426,C10H,0,121.1149,,,,
427,C4H3,0,51.0666,,,,
428,C6H3,0,75.088,,,,
429,C12H,0,145.1363,,,,
430,C12H6+,1,150.176,,,,
441,HCN,0,27.0253,,130.8,,
442,HCN+,1,27.0253,,,,
443,H2CN,0,28.0333,,247.3,,
479,I,0,126.90447,,,,
480,I+,1,126.90447,,,,
481,CF2I+,1,176.91198,,,,
482,CF3I,0,195.91038,,,,
483,CF3I+,1,195.91038,,,,
